City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Komagane,JP,35.7296,137.9396,45.12,88,0,3.2,clear sky
196,Omsukchan,RU,62.5333,155.8,-7.17,99,76,4.16,broken clouds
197,Kedgwick,CA,47.6446,-67.3434,43.02,52,0,6.8,clear sky
198,Port Hedland,AU,-20.3167,118.5667,71.65,68,40,12.66,scattered clouds
199,Alta Floresta,BR,-9.8756,-56.0861,87.62,66,40,8.05,scattered clouds
200,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,64,2,6.71,clear sky
201,Vangaindrano,MG,-23.35,47.6,71.71,88,91,7.34,overcast clouds
202,Kharp,RU,66.8014,65.8081,16.7,89,37,7.9,scattered clouds
203,Kununurra,AU,-15.7667,128.7333,78.78,83,49,0.0,scattered clouds
204,Zhangjiakou,CN,40.81,114.8794,44.02,74,100,3.51,overcast clouds
205,Kavieng,PG,-2.5744,150.7967,82.85,76,100,11.86,light rain
206,Chikwawa,MW,-16.0335,34.8009,85.48,31,6,5.41,clear sky
207,Atherton,GB,53.5237,-2.4935,57.29,82,12,1.99,few clouds
208,Cortez,US,37.3489,-108.5859,53.94,44,0,10.36,clear sky
209,Toamasina,MG,-18.1667,49.3833,73.4,83,40,5.75,scattered clouds
210,Nikolskoye,RU,59.7035,30.7861,51.69,93,100,7.92,overcast clouds
211,Natal,BR,-5.795,-35.2094,83.05,65,40,19.57,scattered clouds
212,Kaniama,CD,-7.5667,24.1833,67.59,89,100,3.42,overcast clouds
213,Port Hawkesbury,CA,45.6169,-61.3485,51.19,65,0,13.0,clear sky
214,San Quintin,MX,30.4833,-115.95,70.84,57,0,11.01,clear sky
215,Ancud,CL,-41.8697,-73.8203,51.1,73,100,13.29,light rain
216,Flinders,AU,-34.5833,150.8552,61.18,66,22,5.99,few clouds
217,Rocha,UY,-34.4833,-54.3333,78.8,55,37,12.39,scattered clouds
218,Ewa Beach,US,21.3156,-158.0072,80.55,72,40,8.05,scattered clouds
219,Port Macquarie,AU,-31.4333,152.9167,55.89,64,0,6.42,clear sky
220,Makakilo City,US,21.3469,-158.0858,79.12,72,100,8.05,overcast clouds
221,Saskylakh,RU,71.9167,114.0833,-0.8,98,48,8.19,scattered clouds
222,Chifeng,CN,42.2683,118.9636,36.81,69,32,2.46,scattered clouds
223,George,ZA,-33.963,22.4617,58.55,88,94,11.5,overcast clouds
224,Pochutla,MX,15.7432,-96.4661,87.82,66,45,6.6,scattered clouds
225,Dezhou,CN,37.4486,116.2925,51.39,72,100,6.87,overcast clouds
226,Jacareacanga,BR,-6.2222,-57.7528,87.48,55,100,3.83,moderate rain
227,Port Blair,IN,11.6667,92.75,80.64,83,40,2.3,mist
228,Husavik,IS,66.0449,-17.3389,29.34,85,87,12.73,overcast clouds
229,Alofi,NU,-19.0595,-169.9187,76.89,88,100,8.05,overcast clouds
230,Pierre,US,44.3683,-100.351,66.27,30,0,7.0,clear sky
231,Necochea,AR,-38.5473,-58.7368,58.86,60,100,7.76,light rain
232,Paita,PE,-5.0892,-81.1144,69.15,71,34,15.01,scattered clouds
233,Santiago Del Estero,AR,-27.7951,-64.2615,99.36,21,0,12.1,clear sky
234,Idah,NG,7.1065,6.7342,78.94,63,100,2.42,overcast clouds
235,Bowen,AU,-20.0167,148.2333,77.36,80,12,7.94,few clouds
236,Whitehorse,CA,60.7161,-135.0538,20.01,90,100,2.3,overcast clouds
237,Vila Velha,BR,-20.3297,-40.2925,82.35,82,20,19.57,few clouds
238,Sai Buri,TH,6.7013,101.6168,78.96,92,100,6.64,very heavy rain
239,Pevek,RU,69.7008,170.3133,3.33,94,100,4.25,overcast clouds
240,Luoyang,CN,34.6836,112.4536,56.91,72,100,5.5,overcast clouds
241,Bayan,CN,46.0833,127.4,29.95,55,0,2.37,clear sky
242,Port Alfred,ZA,-33.5906,26.891,63.18,79,100,4.0,overcast clouds
243,Belle Fourche,US,44.6714,-103.8522,71.51,21,12,4.88,few clouds
244,Severo-Kurilsk,RU,50.6789,156.125,38.14,66,75,14.0,broken clouds
245,Hervey Bay,AU,-25.2986,152.8535,69.87,55,0,7.47,clear sky
246,Teya,RU,60.3778,92.6267,24.48,85,100,10.13,overcast clouds
247,Ozernovskiy,RU,51.5,156.5167,38.89,69,100,15.97,overcast clouds
248,Pathein,MM,16.7833,94.7333,74.86,93,14,3.29,few clouds
249,Chicama,PE,-7.8447,-79.1469,63.14,60,24,10.16,few clouds
250,Swan River,CA,52.1058,-101.2676,46.29,57,100,16.11,overcast clouds
251,Yarada,IN,17.65,83.2667,75.52,88,20,2.3,mist
252,Carutapera,BR,-1.195,-46.02,82.45,70,93,11.54,overcast clouds
253,Tarija,BO,-21.5355,-64.7296,87.71,23,20,17.27,few clouds
254,Axim,GH,4.8699,-2.2405,78.26,86,33,6.85,scattered clouds
255,Liangxiang,CN,39.7319,116.14,53.58,68,100,3.44,overcast clouds
256,Kamennogorsk,RU,60.9545,29.1339,52.52,96,100,4.85,overcast clouds
257,Koulamoutou,GA,-1.1303,12.4736,70.0,99,100,2.28,light rain
258,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,46,40,40.29,scattered clouds
259,Mogadishu,SO,2.0371,45.3438,78.39,84,96,12.01,light rain
260,Kaoma,ZM,-14.7833,24.8,74.93,43,87,4.74,overcast clouds
261,Inirida,CO,3.8653,-67.9239,84.78,72,95,2.33,overcast clouds
262,Dharchula,IN,29.85,80.5333,56.53,50,0,5.48,clear sky
263,Hamilton,US,39.1834,-84.5333,68.14,47,0,6.91,clear sky
264,Novosil,RU,52.9739,37.0405,42.51,93,100,7.02,overcast clouds
265,Miyang,CN,24.4042,103.4428,61.39,97,88,2.86,overcast clouds
266,Santa Rosa,PH,14.3122,121.1114,78.78,93,100,18.81,moderate rain
267,Tanza,PH,14.6753,120.9389,78.85,92,100,15.99,moderate rain
268,Esperance,AU,-33.8667,121.9,52.57,79,5,11.41,clear sky
269,Quelimane,MZ,-17.8786,36.8883,77.09,84,50,8.66,scattered clouds
270,Altus,US,34.6381,-99.334,55.47,87,100,10.36,moderate rain
271,Santa Marta,CO,11.2408,-74.199,89.65,65,20,10.36,few clouds
272,Itarema,BR,-2.9248,-39.9167,80.73,74,65,18.12,broken clouds
273,Boda,CF,4.3189,17.4695,71.46,95,100,2.37,overcast clouds
274,Buin,CL,-33.7333,-70.75,82.44,19,100,10.16,overcast clouds
275,Lashio,MM,22.9333,97.75,63.55,99,87,0.92,overcast clouds
276,Paso De Carrasco,UY,-34.8603,-56.0522,88.25,29,75,11.5,broken clouds
277,Arlit,NE,18.7369,7.3853,79.45,16,0,17.4,clear sky
278,Nantucket,US,41.2835,-70.0995,55.54,82,84,22.12,broken clouds
279,Sambava,MG,-14.2667,50.1667,70.34,83,15,3.8,few clouds
280,Salalah,OM,17.0151,54.0924,78.89,73,0,5.75,clear sky
281,Tura,IN,25.5198,90.2201,64.67,95,0,4.29,clear sky
282,Baykit,RU,61.67,96.37,30.54,97,100,3.42,light snow
283,Lompoc,US,34.6391,-120.4579,72.7,66,0,4.61,clear sky
284,Zalegoshch,RU,52.9008,36.8869,43.0,93,98,6.96,overcast clouds
285,Iwanai,JP,42.9744,140.5089,41.83,94,26,6.22,scattered clouds
286,Broome,US,42.2506,-75.833,59.79,41,0,4.61,clear sky
287,Fort Saint James,CA,54.4333,-124.25,45.93,39,100,9.93,overcast clouds
288,Yenangyaung,MM,20.4667,94.8833,75.47,75,84,5.66,broken clouds
289,Kaputa,ZM,-8.4689,29.6619,78.3,51,93,3.8,overcast clouds
290,Okha,RU,53.5739,142.9478,29.1,80,44,8.46,scattered clouds
291,Ambon,ID,-3.6954,128.1814,79.23,14,20,4.61,few clouds
292,Yoichi,JP,43.2039,140.7703,47.19,82,9,8.7,clear sky
293,Gent,BE,51.05,3.7167,62.65,78,100,6.85,overcast clouds
294,Juba,SS,4.8517,31.5825,76.48,65,85,3.51,overcast clouds
295,Ayan,RU,56.45,138.1667,36.68,43,100,3.47,overcast clouds
296,Saint George,US,37.1041,-113.5841,61.95,24,0,4.61,clear sky
297,Puerto Ayacucho,VE,5.6639,-67.6236,89.51,62,92,1.12,overcast clouds
298,Mubi,NG,10.2676,13.2644,78.06,30,99,4.25,overcast clouds
299,Camacha,PT,33.0833,-16.3333,69.22,78,20,8.05,few clouds
300,Valparaiso,CL,-33.0393,-71.6273,73.63,62,0,11.5,clear sky
301,Horodyshche,UA,49.2849,31.4451,49.68,84,100,6.26,overcast clouds
