City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
178,Buala,SB,79.57,light rain,-8.145,159.5921,Maringe Lagoon Lodge
179,Kirakira,SB,79.99,scattered clouds,-10.4544,161.9205,SanBiz Lodge
188,Gainesville,US,78.78,overcast clouds,29.6516,-82.3248,Stayable Select
190,Victoria,HK,77.38,clear sky,22.2855,114.1577,Mini Central
193,Itaituba,BR,89.76,few clouds,-4.2761,-55.9836,Hotel Campos
199,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
203,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
205,Kavieng,PG,82.85,light rain,-2.5744,150.7967,Nusa Island Retreat
206,Chikwawa,MW,85.48,clear sky,-16.0335,34.8009,Thawale Lodge
211,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
217,Rocha,UY,78.8,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
218,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Base Lodging
220,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
224,Pochutla,MX,87.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
226,Jacareacanga,BR,87.48,moderate rain,-6.2222,-57.7528,Casa do Ian😎
227,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
229,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
234,Idah,NG,78.94,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
235,Bowen,AU,77.36,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
237,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
238,Sai Buri,TH,78.96,very heavy rain,6.7013,101.6168,สวนป่ารีสอร์ท
251,Yarada,IN,75.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
252,Carutapera,BR,82.45,overcast clouds,-1.195,-46.02,Lidera
253,Tarija,BO,87.71,few clouds,-21.5355,-64.7296,Hostal Granny
254,Axim,GH,78.26,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
259,Mogadishu,SO,78.39,light rain,2.0371,45.3438,Hotel Juba
261,Inirida,CO,84.78,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
266,Santa Rosa,PH,78.78,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
267,Tanza,PH,78.85,moderate rain,14.6753,120.9389,Villa Vicencio Garden Resort
269,Quelimane,MZ,77.09,scattered clouds,-17.8786,36.8883,Hotel Flamingo
271,Santa Marta,CO,89.65,few clouds,11.2408,-74.199,Hotel La Ballena Azul
272,Itarema,BR,80.73,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
